# It Res SizeLambda SizeTestRes CG_Its
0 0.0140548 33 91 16
1 0.00802774 40 131 10
2 0.00957765 75 276 19
3 0.00479742 97 444 19
4 0.00282201 204 890 29
5 0.0024413 379 1725 34
6 0.00127575 584 3009 31
7 0.000829375 1177 5865 45
8 0.00047869 2233 11380 46
9 0.000284711 3538 18237 45
10 0.000181342 6451 33776 48
11 0.00010306 11915 63042 58
12 6.23801e-05 20672 112083 52
13 3.77942e-05 33187 180369 52
14 2.28139e-05 58092 321975 55
15 1.38926e-05 91801 518565 62
16 8.28358e-06 179192 985901 66
17 4.56744e-06 310514 1692582 64
18 2.70149e-06 540787 3000947 60
