# Center_x Center_y Value Xtype1 j1 k1 Xtype2 j2 k2
0.75 0.75 -8.9795942232433315359373639176661374694532e-09 0 2 22 1 6 289
7.5000000000000000000000000000000000000000e-01 7.5781250000000000000000000000000000000000e-01 6.7701947510876529948103550178681482585308e-10 1 2 19 1 6 288
7.5000000000000000000000000000000000000000e-01 7.5781250000000000000000000000000000000000e-01 -8.8773073184783192468408802603893614779906e-09 1 2 20 1 6 287
7.5000000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 -2.4015776173961338036630928914909235277753e-10 1 2 21 1 6 286
8.7500000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 5.2304914660501967878923024012202333543620e-10 1 2 24 1 6 283
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 1.0398352251010086035442314724157493455170e-09 1 6 301 1 4 81
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -4.7960289363670145446482541865614208920210e-10 1 6 302 1 4 80
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 1.7536491735519907493476837728870951216287e-09 1 6 303 1 4 79
8.0468750000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 -5.0363153626512803802510301521720356698886e-10 1 6 305 1 4 77
7.9687500000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -4.9476428213526975934087940084600033829876e-10 1 6 307 1 4 75
7.9687500000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -3.3292473467370079601900756723499141126466e-10 1 6 308 1 4 74
8.2031250000000000000000000000000000000000e-01 7.8125000000000000000000000000000000000000e-01 2.9869651541391435221182520143063006401452e-10 1 6 311 1 4 71
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 0.0000000000000000000000000000000000000000e+00 0 2 0 0 2 0
7.8125000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 5.5469800480536702235434250250062371279114e-08 1 4 71 1 4 86
